freqs:, k index, k1, k2, k3, kmag/2pi, band 1
freqs:, 221, 4.38247, 0, 0, 4.38247, 1.29696
freqs:, 222, 4.40239, 0, 0, 4.40239, 1.3026
freqs:, 223, 4.42231, 0, 0, 4.42231, 1.30824
freqs:, 224, 4.44223, 0, 0, 4.44223, 1.31388
freqs:, 225, 4.46215, 0, 0, 4.46215, 1.31953
freqs:, 226, 4.48207, 0, 0, 4.48207, 1.32517
freqs:, 227, 4.50199, 0, 0, 4.50199, 1.33082
freqs:, 228, 4.52191, 0, 0, 4.52191, 1.33646
freqs:, 229, 4.54183, 0, 0, 4.54183, 1.34211
freqs:, 230, 4.56175, 0, 0, 4.56175, 1.34776
freqs:, 231, 4.58167, 0, 0, 4.58167, 1.3534
freqs:, 232, 4.60159, 0, 0, 4.60159, 1.35905
freqs:, 233, 4.62151, 0, 0, 4.62151, 1.3647
freqs:, 234, 4.64143, 0, 0, 4.64143, 1.37035
freqs:, 235, 4.66135, 0, 0, 4.66135, 1.376
freqs:, 236, 4.68127, 0, 0, 4.68127, 1.38165
freqs:, 237, 4.7012, 0, 0, 4.7012, 1.38731
freqs:, 238, 4.72112, 0, 0, 4.72112, 1.39296
freqs:, 239, 4.74104, 0, 0, 4.74104, 1.39861
freqs:, 240, 4.76096, 0, 0, 4.76096, 1.40427
freqs:, 241, 4.78088, 0, 0, 4.78088, 1.40992
freqs:, 242, 4.8008, 0, 0, 4.8008, 1.41558
freqs:, 243, 4.82072, 0, 0, 4.82072, 1.42123
freqs:, 244, 4.84064, 0, 0, 4.84064, 1.42689
freqs:, 245, 4.86056, 0, 0, 4.86056, 1.43254
freqs:, 246, 4.88048, 0, 0, 4.88048, 1.4382
freqs:, 247, 4.9004, 0, 0, 4.9004, 1.44386
freqs:, 248, 4.92032, 0, 0, 4.92032, 1.44952
freqs:, 249, 4.94024, 0, 0, 4.94024, 1.45518
freqs:, 250, 4.96016, 0, 0, 4.96016, 1.46084
freqs:, 251, 4.98008, 0, 0, 4.98008, 1.4665
freqs:, 252, 5, 0, 0, 5, 1.47216
